,Dates,801950.SI,801020.SI,801710.SI,801200.SI,801230.SI,801030.SI,801130.SI,801140.SI,801890.SI,801720.SI,801880.SI,801010.SI,801080.SI,801970.SI,801760.SI,801750.SI,801150.SI,801730.SI,801170.SI,801160.SI,801960.SI
0,2002-03-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2002-3-14,1.0377262834016592,0.9791741888016131,1.025142960878642,0.9902317111268581,1.0205236889427134,0.9762591748924324,1.0117769178516092,0.9929893620482124,1.0150086198154347,1.006118031223056,1.014435791057088,0.9760897963133194,1.0042379915435469,0.9909920940320437,0.9892450353558877,1.015998437906795,0.9957560279426125,1.0082183407102185,0.9991863046380636,0.9908452704622001,1.0026090197540065
2,2002-3-15,1.007517285385873,0.9752093140494178,0.994354179903785,0.982375934349784,1.0384234283826927,0.9751370960938158,0.9973362642059548,0.988971664660529,1.0175945644457967,0.9959274274916988,1.0180265424460782,0.9737384488848032,1.0274297655433713,0.982482683831246,0.9795486302239913,1.0325696433220515,0.9852399909862541,1.0025017263043503,0.970296169311835,0.9761392687578623,1.0008959545858538
3,2002-3-18,1.0085225037804955,0.9674771270326796,0.9964237088136517,0.9799833893371737,1.037469264927153,0.9699400995528559,1.0290644868301544,0.9879387748462866,1.0041577933272487,0.988699528535525,1.0114596727887362,0.9680197397068072,1.0486490181335262,0.9679825788847687,0.9796756573654571,1.0277662067170006,0.9527153909712311,1.0385899772467426,0.972081559135113,0.9615144260033275,0.9949611514091572
4,2002-3-19,1.0358207389666358,0.9469442533159842,1.021252004477928,0.9694607630237501,1.0277533120481483,0.9456508900700246,1.014196414260527,0.9790087510979538,1.0091522157996147,0.9895617398323274,0.9978326095219611,0.94541584014708,1.047828761705743,0.9719180717833904,1.001058559512216,1.0127050247331422,0.9617967400285437,1.024304101246335,0.9559182512659677,0.9568477863896441,0.9947461223085522
5,2002-3-20,1.0453309790827168,0.9528098154493866,1.0312244712716712,0.9349212517429766,1.03025799111894,0.9505694760820046,1.0183484838076922,0.9404421093724584,1.0076310718994017,0.9744363522958669,0.9965386450574603,0.9491992839518119,1.0399093811946452,0.9949100958511159,0.9901765677266378,1.0118198385837018,0.9492300758656953,1.028141590916809,0.9607214238878836,0.9295540315708314,1.0067304108489348
6,2002-3-21,1.044701624957388,0.9303013168561678,1.0418383710023904,0.9464649004503165,1.0251385371940251,0.9267527208301696,1.0050679672413925,0.9534711604151079,1.002129601460298,0.9778485076406598,1.0156893191320735,0.9273598142145241,1.0385129922759189,0.9836370950815084,0.9966972943218869,1.0180421765165317,0.9762562908435365,1.0095088239622363,0.9841526903296649,0.9429696059732988,1.0192451045041426
7,2002-3-22,1.0322369168640686,0.9689895019381563,1.0332455901485584,0.9305552380734677,1.0161198576094532,0.9691048679659159,1.0101511994443555,0.9381730049773904,1.0043859649122808,0.9704371594724002,1.0361420449490908,0.9674488364216941,1.0307400861269251,0.993370880850766,1.0297666934835077,1.010010413954699,0.9631638248328702,1.0148292373696783,0.9828649976695132,0.9281337499492757,1.020635626021388
8,2002-3-25,1.0329449402550634,0.9734789391575664,1.0414450394844335,0.9620926387333226,1.0140739109692094,0.9821648527798871,1.0128378326807563,0.9653127948209117,0.9955633302910456,0.9695932930968062,1.0452806689796283,0.9744351444191782,1.0161317097464042,1.0320611488141047,1.1271965109878477,1.0117417339234571,0.9739878314429505,1.0133123535471311,0.9863646777213367,0.9573509718784239,1.0138908798990793
9,2002-3-26,1.0170624896200275,0.9610529399341914,1.0238661462588126,0.9495889241928969,1.0043120848471498,0.9718889732557159,0.9926270235614684,0.9552848173330297,0.9998225332116418,0.959072480783695,1.0418031394812821,0.9655426000290288,1.0091400001952995,1.1280784300006998,1.0908244061481136,1.0000781046602445,0.9571771952227146,0.9864612458823399,1.007125759383171,0.941167877287668,1.0141560824564921
