,Dates,001702.OF,270028.OF,002980.OF,001410.OF,001018.OF,400032.OF,450004.OF,001000.OF,002340.OF,100026.OF,519133.OF,519003.OF,001869.OF,166009.SZ,001990.OF,450003.OF,519069.OF,001667.OF,110015.OF,200012.OF,166006.SZ,270007.OF,270005.OF,000339.OF,001694.OF,519714.OF,519002.OF,001445.OF,519171.OF
0,2016-9-12,0.9720111955217914,0.9950779327317474,1.0005996402158703,0.9954792043399637,1.0071542130365658,0.9742519966622959,0.9928635098387736,1.010559662090813,0.9854545454545455,1.002237694134073,1.0081967213114753,0.9959225286368057,1.0,1.003197603820934,1.0057583274273565,0.9914933852186351,1.0037142181215992,0.993,1.0058052991961892,1.0,0.9983266398929049,1.0025766080795067,0.9904387542802223,1.0028612303290414,0.99768875192604,1.0039370078740157,0.9988253062594395,1.0008673026886383,1.0
1,2016-9-13,1.0049362402303579,1.0012366034624895,1.0005992808629645,0.9518619436875568,1.0078926598263616,1.0047718096170317,0.997304585801551,0.9958202716823407,1.0027675276752765,1.0019846177148666,1.003613369467028,1.0133060392038327,0.993981083404987,1.0045188622150494,0.9962124548577469,0.9952335560775164,1.0004006882409786,0.9969788519637462,1.014404814760002,0.9956024626209322,0.9976533690915185,1.001743919229004,0.99892738539784,1.007132667617689,0.9528957528957529,1.0019607843137255,0.9909274193548387,1.001733102253033,0.9974715549936789
2,2016-9-14,0.9979533360622186,1.0004116920543435,1.000598921940507,1.0038167938931297,0.9960845732184809,0.9968339016074037,1.0081081097616278,1.0010493179433368,0.9917203311867526,1.0033011472275974,0.9981998199819982,1.0010101001065346,1.0,1.015825199823272,1.0,0.9971264341270961,1.000824615964565,0.9575757575757575,1.0028206001069884,0.995583038869258,1.0024361559139785,1.0012827560930915,0.9984967239210885,0.9957507082152974,1.006482982171799,0.9980430528375733,1.0063298293206735,1.0034602076124568,0.9961977186311787
3,2016-9-18,1.0069729286300246,1.0065843621399178,1.0005985634477257,0.9923954372623575,1.0007861635220126,1.0073295870999268,0.989276135176593,0.9737945492662474,1.0060296846011132,0.9986838861764159,0.9972948602344456,1.0060544910209586,1.004325259515571,1.0017002095607133,0.9711759504862953,0.9990393890675241,0.9983521269333083,1.0021097046413503,1.0005819310411717,1.0,0.997485963295064,0.9966142020497804,1.0086030759730988,1.0028449502133712,0.9903381642512077,1.0019607843137255,1.0039874199707963,0.996551724137931,1.0101781170483461
4,2016-9-19,1.0069246435845214,0.9971381847914963,1.0,1.0057471264367817,0.96229379418696,1.007276255154014,1.004516714157884,1.0021528525296017,1.0059935454126325,0.9901985010505023,1.0009041591320071,1.0040120355113764,0.995693367786391,0.9957764269361333,1.001911871813547,1.0057692265807283,1.0024758895517463,0.9936842105263158,0.993747879610333,1.0035492457852706,0.9950432664034277,0.9975208888072721,0.9969079862125885,0.9964539007092199,1.0008130081300814,0.9735812133072407,0.9994406220283044,1.005190311418685,0.9987405541561712
5,2016-9-20,0.9968648867313916,0.9942599425994258,1.0,1.0076190476190476,1.0114285714285713,0.997832891885384,0.9946043175218593,0.9924812030075187,1.000916590284143,1.0079021788008649,0.9891598915989159,1.0019980031913038,0.9991349480968859,0.9984936774091251,0.9960926851431168,0.9885277282183426,1.002469774662464,0.9978813559322034,0.9965860319937575,1.0053050397877985,1.0024484971293484,1.0080081001472754,0.9954010687237723,0.999288256227758,1.0089358245329,1.0100502512562812,1.0,1.0051635111876076,0.9962168978562421
6,2016-9-21,1.0030435223698895,0.9962886597938144,0.9990029910269194,0.9952741020793949,0.9919289749798225,1.0021718146718146,0.9909584040573106,0.9956709956709957,0.9972527472527472,0.9986795414909161,1.0100456621004568,1.0,1.0017316017316018,0.9983326055024019,1.0039226418536764,0.9990328811188217,1.0,1.0084925690021231,0.9937359303122247,0.9982409850483729,1.007243325191611,1.0001826317231304,0.968410873807183,1.0056980056980056,0.9991948470209341,0.9910447761194031,0.9977052666927856,1.0085616438356164,0.9974683544303797
7,2016-9-22,1.004753717002124,1.0095198675496688,1.0029940119760479,1.0056980056980056,1.0032546786004881,1.0055381651817963,1.0109489094937913,1.0032608695652174,1.0110192837465566,1.0039666151878037,0.9972875226039782,0.999002991919071,1.003457216940363,0.9942339046407126,1.0049977283053158,0.9970958346833535,1.0,1.0094736842105263,1.0137890278735349,0.9991189427312774,0.9964043816372606,0.9938829544417055,0.9990014432142921,0.9957507082152974,0.9959709911361804,0.9969879518072289,1.0045439246045103,1.0,1.0050761421319796
8,2016-9-23,0.995168109522851,0.992209922099221,0.9980099502487563,1.0094428706326724,1.005677210056772,0.9979645593869731,0.9864620931911158,1.0,0.9963669391462306,0.9977775953370996,1.00181323662738,0.9990019939260992,0.9991386735572781,1.0122790176785856,0.9990054249547919,1.008737867373577,1.0041061498392736,0.9947862356621481,0.99659963081706,0.9955908289241624,1.0036085934877474,1.0071651662686019,0.9894491329255322,1.0106685633001424,1.0097087378640777,1.010070493454179,0.9920701401686491,1.0008488964346351,1.0
9,2016-9-26,0.9854339469957515,0.993801652892562,1.0009970089730809,0.9981290926099158,0.9967741935483871,0.9817636472705459,1.0109789550153037,0.9924160346695557,0.9817684594348223,1.0070945371992168,0.9963800904977376,1.0039960063826079,0.993103448275862,0.9980244181911574,0.9990044347904787,0.9990375352036035,1.0036687386082161,1.0031446540880504,1.0017059855722361,1.0017714791851196,1.0053516180282631,0.9963516964611455,0.998316308928483,1.0,0.9991987179487181,0.9970089730807579,0.9971291866028709,1.005089058524173,1.0025252525252526
