,Dates,001702.OF,270028.OF,002980.OF,001410.OF,001018.OF,400032.OF,450004.OF,001000.OF,002340.OF,100026.OF,519133.OF,519003.OF,001869.OF,166009.SZ,001990.OF,450003.OF,519069.OF,001667.OF,110015.OF,200012.OF,166006.SZ,270007.OF,270005.OF,000339.OF,001694.OF,519714.OF,519002.OF,001445.OF,519171.OF
0,2016-09-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2016-9-12,0.9720111955217914,0.9950779327317474,1.0005996402158703,0.9954792043399637,1.0071542130365658,0.9742519966622959,0.9928635098387736,1.010559662090813,0.9854545454545455,1.002237694134073,1.0081967213114753,0.9959225286368057,1.0,1.003197603820934,1.0057583274273565,0.9914933852186351,1.0037142181215992,0.993,1.0058052991961892,1.0,0.9983266398929049,1.0025766080795067,0.9904387542802223,1.0028612303290414,0.99768875192604,1.0039370078740157,0.9988253062594395,1.0008673026886383,1.0
2,2016-9-13,0.9768092762894843,0.9963084495488104,1.001199280431741,0.9475587703435805,1.0151033386327504,0.9789009417093814,0.9901873314372323,1.0063357972544877,0.988181818181818,1.0042267528163584,1.0118397085610198,1.0091743128468273,0.993981083404987,1.0077309155670686,1.0019489723600283,0.986767487598477,1.0041163946061036,0.99,1.0202937382157387,0.9956024626209322,0.9959839357429717,1.0043250207048862,0.9893763952098362,1.0100143061516451,0.9506933744221879,1.0059055118110236,0.9897633831179729,1.002601908065915,0.9974715549936789
3,2016-9-14,0.9748100759696123,0.996718621821165,1.0017989206476112,0.9511754068716094,1.0111287758346583,0.9758016450113243,0.9982158790050987,1.007391763463569,0.98,1.0075418531772973,1.0100182149362475,1.0101936799277458,0.993981083404987,1.0236784586740062,1.0019489723600283,0.9839319462216229,1.0049444050153773,0.948,1.0231715788429094,0.9912049252418645,0.9984103078982596,1.0056133247446395,0.9878890893418776,1.0057224606580828,0.9568567026194145,1.0039370078740157,0.996028416400962,1.0060711188204683,0.9936788874841972
4,2016-9-18,0.9816073570571773,1.0032813781788352,1.002398560863482,0.9439421338155516,1.0119236883942768,0.9829538681606866,0.9875111468540696,0.9809926082365362,0.985909090909091,1.0062158134164911,1.0072859744990892,1.0163098884922974,0.9982803095442819,1.0254189265765399,0.9730687455705174,0.9829867704372701,1.0032883841968299,0.9500000000000001,1.0237669941450827,0.9912049252418645,0.9959002677376169,1.0022085212110055,0.9963879742304812,1.0085836909871242,0.9476117103235747,1.0059055118110236,0.9999999999999998,1.002601908065915,1.0037926675094817
5,2016-9-19,0.9884046381447422,1.0004101722723544,1.002398560863482,0.949367088607595,0.9737678855325917,0.9901060913100488,0.9919714524321336,0.9831045406546989,0.9918181818181818,0.9963533901783215,1.0081967213114753,1.0203873598554916,0.9939810834049869,1.021087994819072,0.9749291282778171,0.9886578438417811,1.0057724154246512,0.9440000000000001,1.01736627964672,0.9947229551451187,0.9909638554216864,0.999723934848624,0.9933071288765495,1.0050071530758224,0.9483821263482282,0.9793307086614172,0.9994406220283042,1.007805724197745,1.0025284450063212
6,2016-9-20,0.9853058776489406,0.9946677604593929,1.002398560863482,0.9566003616636529,0.9848966613672498,0.9879604243652401,0.9866190894474297,0.9757127771911297,0.9927272727272728,1.0042267528163584,0.9972677595628414,1.0224260970568488,0.9931212381771279,1.019549906905205,0.9711197732104889,0.9773156923581607,1.0082564466524722,0.9420000000000001,1.0138930237173762,1.0,0.9933902275769744,1.00772982423852,0.9887389776546592,1.004291845493562,0.9568567026194146,0.9891732283464565,0.9994406220283042,1.013009540329575,0.9987357774968395
7,2016-9-21,0.9883046781287488,0.9909762100082034,1.001399160503698,0.9520795660036167,0.9769475357710654,0.9901060913100487,0.977698478291302,0.9714889123548045,0.99,1.0029007130555523,1.0072859744990892,1.0224260970568488,0.994840928632846,1.0178499150004046,0.9749291282778171,0.9763705118992093,1.0082564466524722,0.9500000000000001,1.0075419271608614,0.9982409850483729,1.000585676037483,1.0079138676727706,0.9575055773177694,1.010014306151645,0.9560862865947614,0.9803149606299212,0.9971471723443528,1.0216825672159582,0.9962073324905184
8,2016-9-22,0.993002798880448,1.0004101722723542,1.0043973615830504,0.95750452079566,0.9801271860095391,0.9955894623912264,0.9884032104423309,0.9746568109820485,1.000909090909091,1.0068788342558177,1.0045537340619306,1.0214067299759304,0.998280309544282,1.0119808953290697,0.9798015591778879,0.9735349705223553,1.0082564466524722,0.9590000000000001,1.0214349508782377,0.9973614775725592,0.9969879518072285,1.0017484126253795,0.9565494536261856,1.0057224606580826,0.9522342064714947,0.9773622047244094,1.0016781339150862,1.0216825672159582,1.0012642225031605
9,2016-9-23,0.9882047181127551,0.9926168990976207,1.0023985608634822,0.9665461121157323,0.985691573926868,0.9935629991655737,0.9750222998897606,0.9746568109820485,0.9972727272727273,1.004641142039592,1.006375227686703,1.0203873598554913,0.997420464316423,1.0244070266332062,0.9788270729978736,0.9820415899783188,1.0123964986988407,0.9540000000000001,1.0179616949488934,0.9929639401934917,1.0005856760374827,1.0089261065611483,0.9464570274908208,1.0164520743919883,0.9614791987673345,0.9872047244094486,0.9937349667170104,1.0225498699045967,1.0012642225031605
10,2016-9-26,0.9738104758096763,0.9864643150123049,1.0033979612232664,0.9647377938517178,0.9825119236883942,0.9754440338538559,0.9857270258591683,0.9672650475184793,0.9790909090909091,1.0117686059936555,1.0027322404371584,1.0244648342582063,0.990541702493551,1.0223832267465391,0.9778525868178595,0.9810964095193674,1.01611071682044,0.9570000000000002,1.0196983229135652,0.9947229551451188,1.0059404283801867,1.0052452378761387,0.94486348624406,1.0164520743919883,0.9607087827426812,0.9842519685039369,0.9908821390613636,1.0277536860364267,1.0037926675094817
11,2016-9-27,0.9805077968812477,0.9909762100082032,1.0023985608634822,0.9556962025316454,0.9777424483306836,0.9817618309691258,0.9857270258591683,0.9746568109820485,0.9900000000000001,1.010608321922143,1.0118397085610198,1.0214067299759306,0.9957007738607049,1.0215737067918722,0.9826364280652019,0.9820415899783188,1.0144546960018928,0.9540000000000002,1.016225066984221,1.0008795074758137,1.0081994645247652,0.9935584798012331,0.9509189415731212,1.0164520743919883,0.9530046224961481,0.9773622047244094,0.994294344688706,1.0320901994796183,1.0012642225031607
12,2016-9-28,0.9740103958416636,0.9946677604593926,1.0013991605036983,0.9629294755877034,0.9825119236883942,0.9750864226963877,0.9910793888438723,0.9704329461457232,0.992727272727273,0.9978451856284207,1.0173041894353367,1.0203873598554916,0.9828030954428202,1.018133246984538,0.9826364280652019,0.9924385656775865,1.0057724154246512,0.9480000000000002,1.0208395355760638,0.9973614775725596,1.0081157965194105,0.9910738934388514,0.9494316374659503,1.0185979971387693,0.9591679506933746,0.9812992125984252,0.9869105554623256,1.0294882914137033,0.9962073324905184
13,2016-9-29,0.9735105957616955,0.9909762100082031,1.0013991605036983,0.9620253164556962,0.9809220985691574,0.9741327929431395,0.9991079364117386,0.963041182682154,0.9990909090909094,0.9961876344890278,1.0100182149362475,1.0234454641377675,0.9828030954428202,1.0219379907714723,0.9778525868178596,1.003780717161207,1.0115684882895672,0.9500000000000003,1.0231715788429092,1.0087950747581358,1.0016733601070946,0.9920861323272293,0.9452884312808447,1.023605150214592,0.9637904468412943,0.982283464566929,0.9926162107736194,1.0268863833477881,1.0000000000000002
14,2016-9-30,0.9826069572171133,0.9901558654634944,0.99940035978413,0.95750452079566,0.9753577106518283,0.9825962570032182,0.9982158790050987,0.966209081309398,1.0054545454545458,0.9919608816726694,1.0145719489981784,1.0254842013391248,0.9862424763542562,1.024164170646806,0.9778525868178596,1.01795841469628,1.0037142181215994,0.9510000000000003,1.0214349508782372,1.0140721196130171,1.0153112449799193,0.9945707186896108,0.9516625945071004,1.0207439198855506,0.9614791987673346,0.9714566929133858,1.0016781339150862,1.0329575021682567,1.0075853350189636
